date,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,article_count
2010-01-11,0.37437769770622253,0.4720192551612854,0.15360306203365326,-0.09764155745506287,1
2010-01-21,0.6844598650932312,0.010415040887892246,0.30512505769729614,0.674044824205339,1
2010-02-08,0.14885933697223663,0.010790574364364147,0.8403499722480774,0.13806876260787249,1
2010-03-03,0.08034326136112213,0.7039756774902344,0.2156810462474823,-0.6236324161291122,1
2010-03-16,0.740691602230072,0.009722363203763962,0.2495860457420349,0.7309692390263081,1
2010-04-28,0.05593239888548851,0.150202676653862,0.793864905834198,-0.09427027776837349,1
2010-05-26,0.7468670010566711,0.036650318652391434,0.21648269891738892,0.7102166824042797,1
2010-08-09,0.8774996399879456,0.09003077447414398,0.03246951848268509,0.7874688655138016,1
2010-08-12,0.9042214751243591,0.07397639006376266,0.021802160888910294,0.8302450850605965,1
2010-08-20,0.14054250717163086,0.05568045750260353,0.8037770390510559,0.08486204966902733,1
2010-08-26,0.7863364219665527,0.012939593754708767,0.20072396099567413,0.773396828211844,1
2010-09-23,0.044498510658741,0.032651253044605255,0.9228502511978149,0.011847257614135742,1
2010-10-06,0.07560370862483978,0.050356876105070114,0.8740394115447998,0.02524683251976967,1
2010-10-15,0.05051311105489731,0.16700738668441772,0.7824795246124268,-0.11649427562952042,1
2010-10-18,0.0358605831861496,0.04079694300889969,0.9233424663543701,-0.0049363598227500916,2
2010-11-11,0.03550806641578674,0.05220318213105202,0.9122887253761292,-0.016695115715265274,1
2010-12-01,0.0286774430423975,0.07787606120109558,0.8934464454650879,-0.04919861815869808,1
2010-12-21,0.805885910987854,0.017823373898863792,0.17629067599773407,0.7880625370889902,1
2010-12-26,0.023383885622024536,0.9477937817573547,0.028822312131524086,-0.9244098961353302,1
2011-01-02,0.03781341388821602,0.0498756505548954,0.9123108386993408,-0.012062236666679382,1
2011-01-12,0.9285941123962402,0.05446182191371918,0.01694405823945999,0.8741322904825211,1
2011-01-25,0.0303016547113657,0.1752139776945114,0.7944843173027039,-0.1449123229831457,1
2011-02-03,0.049838241189718246,0.413578063249588,0.5365837216377258,-0.36373982205986977,1
2011-02-09,0.662935197353363,0.3093273341655731,0.0277374479919672,0.3536078631877899,1
2011-02-22,0.5064857602119446,0.022956710308790207,0.4705575108528137,0.4835290499031544,1
2011-03-04,0.8582473397254944,0.01559144165366888,0.1261611431837082,0.8426558980718255,1
2011-03-10,0.007075667381286621,0.962774932384491,0.030149446800351143,-0.9556992650032043,1
2011-04-25,0.026581665500998497,0.9168847799301147,0.05653358995914459,-0.8903031144291162,2
