Date,Price
2010-01-01,167.3356308270676
2010-01-04,167.3356308270676
2010-01-05,167.3356308270676
2010-01-06,167.3356308270676
2010-01-07,167.3356308270676
2010-01-08,167.3356308270676
2010-01-11,167.3356308270676
2010-01-12,167.3356308270676
2010-01-13,167.3356308270676
2010-01-14,167.3356308270676
2010-01-15,167.3356308270676
2010-01-18,167.3356308270676
2010-01-19,167.3356308270676
2010-01-20,167.3356308270676
2010-01-21,167.3356308270676
2010-01-22,167.3356308270676
2010-01-25,167.3356308270676
2010-01-26,167.3356308270676
2010-01-27,167.3356308270676
2010-01-28,167.3356308270676
2010-01-29,167.3356308270676
2010-02-01,161.9069612781955
2010-02-02,161.9069612781955
2010-02-03,161.9069612781955
2010-02-04,161.9069612781955
2010-02-05,161.9069612781955
2010-02-08,161.9069612781955
2010-02-09,161.9069612781955
2010-02-10,161.9069612781955
2010-02-11,161.9069612781955
2010-02-12,161.9069612781955
2010-02-15,161.9069612781955
2010-02-16,161.9069612781955
2010-02-17,161.9069612781955
2010-02-18,161.9069612781955
2010-02-19,161.9069612781955
2010-02-22,161.9069612781955
2010-02-23,161.9069612781955
2010-02-24,161.9069612781955
2010-02-25,161.9069612781955
2010-02-26,161.9069612781955
2010-03-01,158.9277694099379
2010-03-02,158.9277694099379
2010-03-03,158.9277694099379
2010-03-04,158.9277694099379
2010-03-05,158.9277694099379
2010-03-08,158.9277694099379
2010-03-09,158.9277694099379
2010-03-10,158.9277694099379
2010-03-11,158.9277694099379
2010-03-12,158.9277694099379
2010-03-15,158.9277694099379
2010-03-16,158.9277694099379
2010-03-17,158.9277694099379
2010-03-18,158.9277694099379
2010-03-19,158.9277694099379
2010-03-22,158.9277694099379
2010-03-23,158.9277694099379
2010-03-24,158.9277694099379
2010-03-25,158.9277694099379
2010-03-26,158.9277694099379
2010-03-29,158.9277694099379
2010-03-30,158.9277694099379
2010-03-31,158.9277694099379
2010-04-01,157.2666426870748
2010-04-02,157.2666426870748
