date,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,article_count
2010-04-21,0.01127661857753992,0.9147979021072388,0.07392551004886627,-0.9035212835296988,1
2010-06-01,0.01126907765865326,0.9400315880775452,0.04869929701089859,-0.9287625104188919,1
2011-03-06,0.06059487909078598,0.7293094992637634,0.21009567379951477,-0.6687146201729774,1
2011-04-26,0.022879263386130333,0.7166634798049927,0.26045724749565125,-0.6937842164188623,1
2011-08-17,0.10579217970371246,0.8703016042709351,0.023906227201223373,-0.7645094245672226,1
2011-09-29,0.025131970643997192,0.15650717914104462,0.8183608651161194,-0.13137520849704742,1
2011-12-08,0.20888380706310272,0.033454179763793945,0.7576619982719421,0.17542962729930878,1
2011-12-14,0.19288671016693115,0.042142659425735474,0.7649706602096558,0.15074405074119568,1
2012-01-06,0.42633530497550964,0.033478934317827225,0.540185809135437,0.3928563706576824,1
2012-03-07,0.21994662657380104,0.03143215272575617,0.748621255159378,0.18851447384804487,2
2012-03-15,0.10289338231086731,0.02372467704117298,0.873382031917572,0.07916870526969433,1
2012-04-16,0.08659988641738892,0.0167875774204731,0.8966125249862671,0.06981230899691582,1
2012-05-13,0.14900659024715424,0.06720544397830963,0.7837880253791809,0.0818011462688446,1
2012-06-07,0.046818893402814865,0.08585689216852188,0.8673242330551147,-0.039037998765707016,1
2012-06-21,0.07714522629976273,0.09391660243272781,0.8289381861686707,-0.016771376132965088,1
2012-07-17,0.06950150430202484,0.019932573661208153,0.910565972328186,0.04956893064081669,1
2012-07-19,0.10325588285923004,0.03793952986598015,0.8588045835494995,0.0653163529932499,1
2012-07-22,0.10334823280572891,0.02833470329642296,0.8683170676231384,0.07501352950930595,1
2012-08-08,0.32863080501556396,0.03520074859261513,0.6361684799194336,0.29343005642294884,1
2012-09-12,0.07290320098400116,0.8264762163162231,0.10062061250209808,-0.753573015332222,1
2012-10-15,0.11034832149744034,0.03597858548164368,0.8536731600761414,0.07436973601579666,1
2012-11-08,0.1367170810699463,0.4313061237335205,0.4319768249988556,-0.2945890426635742,1
2013-03-04,0.09804600477218628,0.03867441415786743,0.8632795214653015,0.05937159061431885,1
2013-07-11,0.798986554145813,0.028176624327898026,0.17283682525157928,0.770809929817915,1
2013-07-15,0.05709206312894821,0.10663815587759018,0.8362696766853333,-0.04954609274864197,1
2013-07-23,0.07435791194438934,0.06472755968570709,0.8609145283699036,0.009630352258682251,1
2013-10-14,0.02589309774339199,0.6183682084083557,0.35573869943618774,-0.5924751106649637,1
2013-10-28,0.05238617956638336,0.4144420027732849,0.5331718325614929,-0.36205582320690155,1
2013-11-11,0.046358589082956314,0.04553084447979927,0.9081106185913086,0.0008277446031570435,1
2013-12-03,0.12362748384475708,0.060671642422676086,0.8157008290290833,0.062955841422081,1
2013-12-10,0.06617475301027298,0.036153025925159454,0.8976722359657288,0.030021727085113525,1
2013-12-12,0.8407400250434875,0.029968470335006714,0.12929145991802216,0.8107715547084808,1
