date,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,article_count
2010-01-04,0.12742888927459717,0.050076793879270554,0.822494387626648,0.07735209539532661,1
2010-01-07,0.1141665130853653,0.029572468250989914,0.8562610745429993,0.08459404483437538,2
2010-01-12,0.07837273925542831,0.03092324733734131,0.8907039761543274,0.047449491918087006,1
2010-01-13,0.11126763373613358,0.029913900420069695,0.8588183522224426,0.08135373331606388,1
2010-01-14,0.13091914355754852,0.03268272429704666,0.8363981246948242,0.09823641926050186,1
2010-01-21,0.03775901719927788,0.0239909365773201,0.9382500052452087,0.013768080621957779,1
2010-01-25,0.09918227791786194,0.6772431135177612,0.22357463836669922,-0.5780608355998993,1
2010-01-28,0.04261984769254923,0.10882369242608547,0.8485564291477203,-0.06620384473353624,2
2010-02-01,0.07918161153793335,0.031074540689587593,0.8897439241409302,0.04810707084834576,1
2010-02-02,0.12312360852956772,0.0318482331931591,0.8450281620025635,0.09127537533640862,1
2010-02-03,0.12713493779301643,0.8174798786640167,0.055385198444128036,-0.6903449408710003,2
2010-02-04,0.09238015860319138,0.03564222902059555,0.8719776272773743,0.056737929582595825,1
2010-02-10,0.08076336234807968,0.03466147556900978,0.8845751285552979,0.0461018867790699,1
2010-02-11,0.20806939899921417,0.041164301335811615,0.7507662773132324,0.16690509766340256,1
2010-02-18,0.07696832716464996,0.02732359804213047,0.8957080841064453,0.04964472912251949,1
2010-02-26,0.04493458569049835,0.03088245540857315,0.9241830706596375,0.014052130281925201,1
2010-02-28,0.028454283252358437,0.6886215806007385,0.282924085855484,-0.6601672973483801,1
2010-03-04,0.10867089033126831,0.04149547591805458,0.849833607673645,0.06717541441321373,1
2010-03-09,0.22242780029773712,0.046018462628126144,0.7315537333488464,0.17640933766961098,1
2010-03-10,0.10221145302057266,0.027701443061232567,0.8700870871543884,0.0745100099593401,1
2010-03-14,0.04048636183142662,0.07841150462627411,0.8811020851135254,-0.03792514279484749,1
2010-03-18,0.03984636068344116,0.08165150135755539,0.8785021305084229,-0.04180514067411423,1
2010-03-26,0.011473490856587887,0.9733248353004456,0.015201661735773087,-0.9618513444438577,1
2010-03-28,0.016170281916856766,0.8415854573249817,0.14224427938461304,-0.8254151754081249,1
2010-03-29,0.07677310705184937,0.016219230368733406,0.9070077538490295,0.06055387668311596,1
2010-03-31,0.10775909572839737,0.03736044839024544,0.8548805117607117,0.07039864733815193,1
2010-04-07,0.0612968010827899,0.43336615338921547,0.5053370371460915,-0.37206935230642557,2
2010-04-10,0.6096442341804504,0.01094461977481842,0.3794111907482147,0.598699614405632,1
2010-04-20,0.08347082138061523,0.03447305038571358,0.8820560574531555,0.04899777099490166,1
2010-04-22,0.07107177563011646,0.472606785595417,0.4563213847577572,-0.40153500996530056,2
2010-04-26,0.10204436630010605,0.036850132048130035,0.8611055016517639,0.06519423425197601,1
2010-04-28,0.47612035647034645,0.02585434354841709,0.4980252981185913,0.45026601292192936,2
2010-04-30,0.10966264456510544,0.03480903059244156,0.8555282950401306,0.07485361397266388,1
2010-05-02,0.22485174238681793,0.022990992292761803,0.7521572709083557,0.20186075009405613,1
2010-05-09,0.7398775219917297,0.009339767508208752,0.2507826089859009,0.730537754483521,1
2010-05-10,0.08018109202384949,0.03275079280138016,0.8870680928230286,0.04743029922246933,1
2010-05-12,0.07854578271508217,0.4513264950364828,0.4701277371495962,-0.37278071232140064,2
2010-05-14,0.010098708793520927,0.9729410409927368,0.016960253939032555,-0.9628423321992159,1
2010-05-28,0.042083825916051865,0.046280886977910995,0.9116352796554565,-0.004197061061859131,1
2010-05-30,0.11099608242511749,0.03310121223330498,0.8559027910232544,0.07789487019181252,1
2010-05-31,0.021783744916319847,0.3488212823867798,0.6293950080871582,-0.32703753747045994,1
2010-06-02,0.02494034357368946,0.9041748642921448,0.0708848088979721,-0.8792345207184553,1
