Date,Price
2010-01-01,167.8218628070175
2010-01-04,167.8218628070175
2010-01-05,167.8218628070175
2010-01-06,167.8218628070175
2010-01-07,167.8218628070175
2010-01-08,167.8218628070175
2010-01-11,167.8218628070175
2010-01-12,167.8218628070175
2010-01-13,167.8218628070175
2010-01-14,167.8218628070175
2010-01-15,167.8218628070175
2010-01-18,167.8218628070175
2010-01-19,167.8218628070175
2010-01-20,167.8218628070175
2010-01-21,167.8218628070175
2010-01-22,167.8218628070175
2010-01-25,167.8218628070175
2010-01-26,167.8218628070175
2010-01-27,167.8218628070175
2010-01-28,167.8218628070175
2010-01-29,167.8218628070175
2010-02-01,160.1615603703704
2010-02-02,160.1615603703704
2010-02-03,160.1615603703704
2010-02-04,160.1615603703704
2010-02-05,160.1615603703704
2010-02-08,160.1615603703704
2010-02-09,160.1615603703704
2010-02-10,160.1615603703704
2010-02-11,160.1615603703704
2010-02-12,160.1615603703704
2010-02-15,160.1615603703704
2010-02-16,160.1615603703704
2010-02-17,160.1615603703704
2010-02-18,160.1615603703704
2010-02-19,160.1615603703704
2010-02-22,160.1615603703704
2010-02-23,160.1615603703704
2010-02-24,160.1615603703704
2010-02-25,160.1615603703704
2010-02-26,160.1615603703704
2010-03-01,156.4641179710145
2010-03-02,156.4641179710145
2010-03-03,156.4641179710145
2010-03-04,156.4641179710145
2010-03-05,156.4641179710145
2010-03-08,156.4641179710145
2010-03-09,156.4641179710145
2010-03-10,156.4641179710145
2010-03-11,156.4641179710145
2010-03-12,156.4641179710145
2010-03-15,156.4641179710145
2010-03-16,156.4641179710145
2010-03-17,156.4641179710145
2010-03-18,156.4641179710145
2010-03-19,156.4641179710145
2010-03-22,156.4641179710145
2010-03-23,156.4641179710145
2010-03-24,156.4641179710145
2010-03-25,156.4641179710145
2010-03-26,156.4641179710145
2010-03-29,156.4641179710145
2010-03-30,156.4641179710145
2010-03-31,156.4641179710145
2010-04-01,156.8254687301588
2010-04-02,156.8254687301588
2010-04-05,156.8254687301588
2010-04-06,156.8254687301588
2010-04-07,156.8254687301588
